id,a1,a2,b1,b2
1,0;0,4;4,0;4,4;0
2,0;0,2;0,5;0,7;0
3,0;0,4;0,0;1,4;1
4,0;0,4;0,2;0,6;0
5,1;1,1;5,1;3,5;3
6,0;0,4;4,2;2,6;6
7,-3;-3,3;3,-3;3,3;-3
8,0;0,0;4,0;2,0;6
9,0;0,0;4,2;0,2;4
10,0;0,5;5,1;1,4;4
11,0;5,5;0,0;0,5;5
12,2;2,2;2,0;0,4;4
13,0;0,10;0,3;0,7;0
14,0;0,10;0,10;0,20;0
15,-5;0,5;0,0;-5,0;5
16,1;0,1;10,1;5,1;15
17,0;0,3;3,3;0,0;3
18,0;0,4;0,4;0,4;4
19,0;0,4;4,4;4,8;8
20,0;0,4;4,4;0,0;4
21,-2;-2,2;2,-2;2,2;-2
22,0;0,1;1,2;2,3;3
23,5;5,5;5,0;0,10;10
24,0;0,4;0,1;0,1;3
25,0;0,0;5,3;0,3;5
26,0;0,3;4,3;4,6;8
27,1;1,4;1,1;1,1;4
28,0;0,4;4,0;0,4;4
29,-1;-1,-1;-5,-1;-3,-1;-7
30,0;0,4;4,-4;4,4;-4
31,0;2,4;2,2;0,2;4
32,10;10,20;20,15;15,25;25
33,0;0,2;2,2;2,4;0
34,0;0,4;4,1;2,3;2
35,-10;0,10;0,0;-10,0;10
36,0;0,5;0,5;0,10;0
37,0;0,0;10,0;3,0;7
38,3;3,3;3,3;3,3;3
39,0;0,4;4,4;4,0;0
40,0;0,4;0,4;1,0;1
41,0;0,1;0,2;0,3;0
42,0;0,4;4,-1;-1,5;5
43,0;0,6;0,2;-2,2;2
44,1;2,3;4,3;2,1;4
45,0;0,0;4,1;1,1;5
46,-5;-5,5;5,-5;5,5;-5
47,0;0,4;0,4;0,0;4
48,2;0,2;4,0;2,4;2
49,0;0,4;4,0;4,4;0
50,100;100,200;200,150;150,250;250
