id,a1,a2,b1,b2,intersects,intersection
1,(0; 0),(4; 4),(0; 4),(4; 0),da,(2; 2)
2,(0; 0),(2; 0),(5; 0),(7; 0),net,-
3,(0; 0),(4; 0),(0; 1),(4; 1),net,-
4,(0; 0),(4; 0),(2; 0),(6; 0),da,(2; 0)-(4; 0)
5,(1; 1),(1; 5),(1; 3),(5; 3),da,(1; 3)
6,(0; 0),(4; 4),(2; 2),(6; 6),da,(2; 2)-(4; 4)
7,(-3; -3),(3; 3),(-3; 3),(3; -3),da,(0; 0)
8,(0; 0),(0; 4),(0; 2),(0; 6),da,(0; 2)-(0; 4)
9,(0; 0),(0; 4),(2; 0),(2; 4),net,-
10,(0; 0),(5; 5),(1; 1),(4; 4),da,(1; 1)-(4; 4)
11,(0; 5),(5; 0),(0; 0),(5; 5),da,(2.5; 2.5)
12,(2; 2),(2; 2),(0; 0),(4; 4),da,(2; 2)
13,(0; 0),(10; 0),(3; 0),(7; 0),da,(3; 0)-(7; 0)
14,(0; 0),(10; 0),(10; 0),(20; 0),da,(10; 0)
15,(-5; 0),(5; 0),(0; -5),(0; 5),da,(0; 0)
16,(1; 0),(1; 10),(1; 5),(1; 15),da,(1; 5)-(1; 10)
17,(0; 0),(3; 3),(3; 0),(0; 3),da,(1.5; 1.5)
18,(0; 0),(4; 0),(4; 0),(4; 4),da,(4; 0)
19,(0; 0),(4; 4),(4; 4),(8; 8),da,(4; 4)
20,(0; 0),(4; 4),(4; 0),(0; 4),da,(2; 2)
21,(-2; -2),(2; 2),(-2; 2),(2; -2),da,(0; 0)
22,(0; 0),(1; 1),(2; 2),(3; 3),net,-
23,(5; 5),(5; 5),(0; 0),(10; 10),da,(5; 5)
24,(0; 0),(4; 0),(1; 0),(1; 3),da,(1; 0)
25,(0; 0),(0; 5),(3; 0),(3; 5),net,-
26,(0; 0),(3; 4),(3; 4),(6; 8),da,(3; 4)
27,(1; 1),(4; 1),(1; 1),(1; 4),da,(1; 1)
28,(0; 0),(4; 4),(0; 0),(4; 4),da,(0; 0)-(4; 4)
29,(-1; -1),(-1; -5),(-1; -3),(-1; -7),da,(-1; -5)-(-1; -3)
30,(0; 0),(4; 4),(-4; 4),(4; -4),da,(0; 0)
31,(0; 2),(4; 2),(2; 0),(2; 4),da,(2; 2)
32,(10; 10),(20; 20),(15; 15),(25; 25),da,(15; 15)-(20; 20)
33,(0; 0),(2; 2),(2; 2),(4; 0),da,(2; 2)
34,(0; 0),(4; 4),(1; 2),(3; 2),da,(2; 2)
35,(-10; 0),(10; 0),(0; -10),(0; 10),da,(0; 0)
36,(0; 0),(5; 0),(5; 0),(10; 0),da,(5; 0)
37,(0; 0),(0; 10),(0; 3),(0; 7),da,(0; 3)-(0; 7)
38,(3; 3),(3; 3),(3; 3),(3; 3),da,(3; 3)
39,(0; 0),(4; 4),(4; 4),(0; 0),da,(0; 0)-(4; 4)
40,(0; 0),(4; 0),(4; 1),(0; 1),net,-
41,(0; 0),(1; 0),(2; 0),(3; 0),net,-
42,(0; 0),(4; 4),(-1; -1),(5; 5),da,(0; 0)-(4; 4)
43,(0; 0),(6; 0),(2; -2),(2; 2),da,(2; 0)
44,(1; 2),(3; 4),(3; 2),(1; 4),da,(2; 3)
45,(0; 0),(0; 4),(1; 1),(1; 5),net,-
46,(-5; -5),(5; 5),(-5; 5),(5; -5),da,(0; 0)
47,(0; 0),(4; 0),(4; 0),(0; 4),da,(4; 0)
48,(2; 0),(2; 4),(0; 2),(4; 2),da,(2; 2)
49,(0; 0),(4; 4),(0; 4),(4; 0),da,(2; 2)
50,(100; 100),(200; 200),(150; 150),(250; 250),da,(150; 150)-(200; 200)
